iter	RMSE
0	4494.550526
1	4343.048783
2	4204.99534
3	4072.658548
4	3954.623526
5	3848.76682
6	3755.564517
7	3652.896531
8	3558.446311
9	3461.910079
10	3373.880776
11	3292.384263
12	3230.295107
13	3170.251648
14	3109.119154
15	3042.871953
16	2992.385526
17	2937.233718
18	2893.203969
19	2841.455461
20	2803.450991
21	2761.394558
22	2726.594946
23	2690.323088
24	2661.364607
25	2639.155476
26	2616.962638
27	2586.114086
28	2565.899995
29	2541.129296
30	2514.464406
31	2490.488757
32	2473.278723
33	2451.46305
34	2435.562912
35	2415.943567
36	2397.001139
37	2384.585327
38	2372.475131
39	2361.123224
40	2350.762269
41	2337.540523
42	2325.774137
43	2311.229406
44	2304.798783
45	2297.762999
46	2287.058215
47	2280.62179
48	2267.213073
49	2258.753033
50	2252.04212
51	2243.832017
52	2233.567574
53	2223.531534
54	2218.51746
55	2210.764035
56	2203.991609
57	2195.235628
58	2189.916203
59	2185.436133
60	2182.778676
61	2179.465141
62	2176.263001
63	2169.807962
64	2167.715715
65	2164.221472
66	2160.507049
67	2154.859627
68	2151.582665
69	2147.882412
70	2145.453667
71	2142.5277
72	2141.64333
73	2138.602369
74	2135.755874
75	2132.752674
76	2128.685521
77	2121.095058
78	2115.049454
79	2109.236042
80	2103.632079
81	2101.567487
82	2097.49782
83	2093.896443
84	2085.469227
85	2084.071619
86	2078.588817
87	2073.593218
88	2073.161565
89	2070.78965
90	2067.042006
91	2062.130149
92	2057.322098
93	2055.146993
94	2050.304679
95	2045.025975
96	2038.026059
97	2033.945643
98	2031.048838
99	2025.847488
100	2023.436703
101	2020.334613
102	2015.851749
103	2010.353185
104	2006.266896
105	2004.900837
106	1998.916245
107	1996.883596
108	1995.236842
109	1992.627152
110	1991.38485
111	1988.01805
112	1987.261561
113	1984.395426
114	1982.57106
115	1978.147883
116	1974.535001
117	1972.203862
118	1970.891274
119	1967.40926
120	1965.303899
121	1964.038113
122	1959.146056
123	1953.728175
124	1951.066992
125	1947.20946
126	1944.881142
127	1941.710831
128	1937.554319
129	1933.561674
130	1930.703102
131	1929.310622
132	1928.037957
133	1925.425779
134	1922.202746
135	1919.913228
136	1918.347547
137	1918.155186
138	1914.994164
139	1913.82131
140	1909.008931
141	1904.432695
142	1902.999894
143	1900.364907
144	1895.839452
145	1894.131989
146	1891.733845
147	1887.801436
148	1883.923353
149	1879.924997
150	1878.352315
151	1874.281835
152	1871.144041
153	1870.291397
154	1869.457983
155	1867.275324
156	1863.577733
157	1863.404145
158	1861.394021
159	1859.623853
160	1857.612241
161	1856.268348
162	1854.66118
163	1852.92968
164	1849.63568
165	1847.858354
166	1845.873944
167	1842.801433
168	1841.463276
169	1839.432244
170	1836.155245
171	1835.408602
172	1833.376637
173	1829.995269
174	1828.507717
175	1827.441072
176	1826.483757
177	1823.942265
178	1822.21441
179	1819.734631
180	1817.118489
181	1816.678626
182	1813.741162
183	1810.922653
184	1809.559669
185	1806.042917
186	1803.779821
187	1801.898051
188	1799.963876
189	1798.472415
190	1796.255816
191	1793.436493
192	1792.416538
193	1790.679196
194	1788.531623
195	1785.208702
196	1784.201508
197	1782.440043
198	1780.450659
199	1778.080102
200	1777.691057
201	1776.411421
202	1775.82874
203	1773.352673
204	1771.071391
205	1768.986514
206	1766.986711
207	1765.260798
208	1764.712171
209	1761.894253
210	1761.15364
211	1757.602042
212	1754.327119
213	1751.887964
214	1751.158195
215	1747.994136
216	1744.879705
217	1743.619352
218	1742.550505
219	1740.565624
220	1740.175095
221	1738.100969
222	1736.729294
223	1736.283781
224	1733.512928
225	1731.235001
